Season,Var.1,Var.2,Var.3,Var.4,Var.5,Var.6,Var.7,Var.8,Var.9,Var.10,Var.11,Var.12,Var.13,Var.14,Var.15,Var.16,Var.17,Var.18,Offense.Four.Factors,Offense.Four.Factors.1,Offense.Four.Factors.2,Offense.Four.Factors.3,Var.23,Defense.Four.Factors,Defense.Four.Factors.1,Defense.Four.Factors.2,Defense.Four.Factors.3,Var.28,Var.29,Var.30,Var.31
6,7,Indiana Pacers*,29.4,52,30,50,32,3.24,-0.14,3.11,110.8,107.2,+3.6,89.3,.389,.157,.560,NA,.509,15.5,33.0,.294,NA,.491,14.7,69.3,.271,NA,Market Square Arena,"673,967","16,438"
6,8,Cleveland Cavaliers*,27.5,47,35,49,33,2.59,-0.09,2.49,109.9,106.7,+3.2,82.3,.296,.264,.551,NA,.510,13.7,28.6,.226,NA,.506,16.3,70.2,.242,NA,Gund Arena,"730,095","17,807"
6,9,Detroit Pistons*,26.8,46,36,49,33,2.50,-0.05,2.45,107.9,105.1,+2.8,87.7,.360,.221,.551,NA,.504,14.6,28.0,.271,NA,.483,13.7,71.7,.229,NA,The Palace of Auburn Hills,"730,573","17,819"
6,10,Portland Trail Blazers*,28.1,44,38,48,34,2.35,-0.14,2.21,106.0,103.5,+2.5,92.6,.347,.203,.528,NA,.494,15.2,33.4,.230,NA,.478,13.5,73.4,.236,NA,Rose Garden Arena,"848,055","20,684"
6,11,New York Knicks*,30.4,47,35,48,34,2.32,-0.08,2.24,106.0,103.5,+2.5,91.0,.306,.201,.550,NA,.509,14.9,25.5,.232,NA,.476,14.8,71.1,.251,NA,Madison Square Garden (IV),"810,283","19,763"
6,12,Houston Rockets*,29.0,48,34,46,36,1.74,-0.12,1.63,109.3,107.4,+1.9,93.2,.317,.265,.555,NA,.512,14.1,26.9,.243,NA,.495,13.6,68.6,.206,NA,The Summit,"667,840","16,293"
6,13,Miami Heat*,27.4,42,40,45,37,1.43,0.03,1.46,105.3,103.8,+1.5,91.1,.345,.230,.541,NA,.501,16.0,30.1,.245,NA,.469,14.8,71.8,.298,NA,Miami Arena,"606,088","14,783"
6,14,Atlanta Hawks*,28.1,46,36,45,37,1.22,0.07,1.29,109.4,108.0,+1.4,89.6,.302,.239,.534,NA,.490,14.0,34.0,.229,NA,.512,16.3,67.1,.217,NA,Omni Coliseum,"496,668","12,114"
6,15,Washington Bullets,24.8,39,43,44,38,1.06,-0.07,0.99,108.7,107.6,+1.1,93.7,.314,.183,.558,NA,.521,15.0,28.2,.228,NA,.489,15.0,67.8,.274,NA,USAir Arena,"669,598","17,237"
6,16,Phoenix Suns*,27.9,41,41,42,40,0.33,-0.05,0.28,110.3,110.0,+0.3,93.2,.370,.147,.551,NA,.498,13.5,29.8,.286,NA,.511,13.3,71.4,.225,NA,America West Arena,"779,943","19,023"
6,17,Charlotte Hornets,27.8,41,41,39,43,-0.57,0.09,-0.48,111.2,111.8,-0.6,91.6,.320,.230,.558,NA,.514,14.1,29.5,.246,NA,.529,13.9,70.3,.217,NA,Charlotte Coliseum,"985,722","24,042"
6,18,Golden State Warriors,27.0,36,46,37,45,-1.45,0.03,-1.42,108.4,109.9,-1.5,93.4,.349,.179,.539,NA,.489,14.8,33.9,.265,NA,.510,15.2,67.2,.232,NA,Oakland-Alameda County Coliseum Arena,"616,025","15,025"
6,19,Denver Nuggets,26.8,35,47,33,49,-2.71,0.09,-2.62,105.2,108.1,-2.9,92.2,.326,.172,.526,NA,.481,14.2,30.7,.242,NA,.492,12.8,72.7,.237,NA,McNichols Sports Arena,"675,425","16,474"
6,20,Sacramento Kings*,26.6,39,43,33,49,-2.71,0.09,-2.62,106.2,109.1,-2.9,93.4,.371,.184,.540,NA,.493,16.0,32.5,.271,NA,.498,15.1,69.0,.302,NA,ARCO Arena (II),"709,999","17,317"
6,21,Boston Celtics,26.3,33,49,32,50,-3.40,0.03,-3.37,106.4,109.9,-3.5,96.2,.329,.209,.534,NA,.494,14.1,28.8,.235,NA,.511,14.3,70.0,.258,NA,FleetCenter,"730,842","17,825"
6,22,Los Angeles Clippers,25.2,29,53,31,51,-3.60,0.13,-3.46,106.5,110.3,-3.8,93.2,.300,.208,.544,NA,.511,15.3,29.3,.210,NA,.512,15.2,67.9,.282,NA,Los Angeles Memorial Sports Arena,"405,495","9,074"
